unidades capa1;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
25;0,3;Simple-1-1P-Nois10;20;20;0,0;0,3010979724884317;0,4981167541368988;7,0
25;0,3;Simple-1-1P-Nois10;20;10;0,0;0,1879821998652077;0,3122122623853368;2,0
25;0,3;Simple-1-1P-Nois10;20;1;0,0438644542553607;0,1191485805079802;0,1796066721234297;9,0
25;0,3;Simple-1-1P-Nois10;40;40;0,0656532164298612;0,2825986379206558;0,5139561687500467;0,0
25;0,3;Simple-1-1P-Nois10;40;20;0,132110314132523;0,2167554109836897;0,2827772511505894;0,0
25;0,3;Simple-1-1P-Nois10;40;1;0,0593582133975349;0,08847023589605625;0,128327101670743;5,0
25;0,3;Simple-1-1P-Nois10;60;60;0,1240121581902975;0,29896609876096963;0,4178554470186724;4,0
25;0,3;Simple-1-1P-Nois10;60;30;0,0160934849861755;0,22572654996032285;0,3632562672934015;1,0
25;0,3;Simple-1-1P-Nois10;60;1;0,0370303496928146;0,09078787227802845;0,1245333779477314;9,0
25;0,3;Simple-1-1P-Nois20;5;5;0,035450098348967;0,1966738092426665;0,3910769444375214;6,0
25;0,3;Simple-1-1P-Nois20;5;2;0,0;0,17356186629161122;0,3116086662407984;2,0
25;0,3;Simple-1-1P-Nois20;5;1;0,0;0,15046294352272072;0,275951112200734;2,0
25;0,3;Simple-1-1P-Nois20;10;10;0,073787416663275;0,21590564990191036;0,4482804291529231;2,0
25;0,3;Simple-1-1P-Nois20;10;5;0,1024332356440044;0,1800724955510435;0,282075973791785;7,0
25;0,3;Simple-1-1P-Nois20;10;1;0,0711932649754873;0,1332248920003163;0,2115509431711923;6,0
25;0,3;Simple-1-1P-Nois20;20;20;0,0;0,1767179090525554;0,4031892562490719;3,0
25;0,3;Simple-1-1P-Nois20;20;10;0,1384522235140035;0,2090128473103003;0,3081086842310168;7,0
25;0,3;Simple-1-1P-Nois20;20;1;0,0428445575937667;0,10088525908742593;0,1498558604281144;0,0
25;0,3;Simple-1-1P-Nois20;40;40;0,0;0,17283812448162986;0,3346640106136302;8,0
25;0,3;Simple-1-1P-Nois20;40;20;0,1281304984501572;0,20815022928459292;0,2676154650525236;5,0
25;0,3;Simple-1-1P-Nois20;40;1;0,0360973378354774;0,078274419442899;0,1168589537501568;8,0
25;0,3;Simple-1-1P-Nois20;60;60;0,0778498944161523;0,26373601232027505;0,4930493313022979;3,0
25;0,3;Simple-1-1P-Nois20;60;30;0,0;0,12733726492594752;0,2446685435979308;6,0
25;0,3;Simple-1-1P-Nois20;60;1;0,0371705054494868;0,06348702132768282;0,1112943948236951;8,0
25;0,3;Simple-2P;5;5;0,1481388087879466;0,253937494912086;0,4227243411389259;8,0
25;0,3;Simple-2P;5;2;0,0970880670289922;0,3120586315550018;0,5668815619457414;4,0
25;0,3;Simple-2P;5;1;0,2109054272602616;0,29766992480735444;0,4140551098961272;6,0
25;0,3;Simple-2P;10;10;0,2042034321431491;0,27436655600737575;0,3869465688399027;6,0
25;0,3;Simple-2P;10;5;0,1017171508027598;0,25026010980081226;0,4537273379542828;2,0
25;0,3;Simple-2P;10;1;0,1648498270414716;0,24403290358530877;0,3229900886511472;9,0
25;0,3;Simple-2P;20;20;0,0519776997673987;0,2304111066793096;0,3579949978463373;0,0
25;0,3;Simple-2P;20;10;0,2319611165911747;0,29511080632143916;0,4020123048558131;8,0
25;0,3;Simple-2P;20;1;0,156059433991986;0,21149694011282674;0,2895948337802778;4,0
25;0,3;Simple-2P;40;40;0,1598049886849661;0,24929446274965023;0,3667965819007848;3,0
25;0,3;Simple-2P;40;20;0,1701611067779209;0,2669637104742711;0,3559408562195456;8,0
25;0,3;Simple-2P;40;1;0,1124424126525986;0,1431157623767993;0,1891942774893935;5,0
25;0,3;Simple-2P;60;60;0,1273364024424013;0,2997505612496748;0,5038092444460225;4,0
25;0,3;Simple-2P;60;30;0,1312226647919559;0,24479051201569085;0,3998659408696733;7,0
25;0,3;Simple-2P;60;1;0,074246069813858;0,1022256210385637;0,133626663656694;7,0
25;0,3;Simple-2P-Nois025;5;5;0,0310273689562167;0,2763976712269026;0,4227243411389259;7,0
25;0,3;Simple-2P-Nois025;5;2;0,1683300478674117;0,23990191828635724;0,4035490232602432;9,0
25;0,3;Simple-2P-Nois025;5;1;0,0941306619155686;0,29285490009909115;0,3733132865091416;0,0
25;0,3;Simple-2P-Nois025;10;10;0,1440303766153705;0,24654138347196947;0,3869465688399027;6,0
25;0,3;Simple-2P-Nois025;10;5;0,176622492189251;0,24253379908502742;0,2902569279949821;0,0
25;0,3;Simple-2P-Nois025;10;1;0,1419675175627053;0,18130638307244293;0,2339000388271861;6,0
25;0,3;Simple-2P-Nois025;20;20;0,1311450235388945;0,2506841322736395;0,4818575849633708;3,0
25;0,3;Simple-2P-Nois025;20;10;0,1627675943095513;0,24406256851364122;0,3182041730940116;0,0
