unidades capa1;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
15;0,3;GB1;10;10;0,2992380423978844;0,3992251691715565;0,4916441335618158;0,0
15;0,3;GB1;10;5;0,5293185073154825;0,543743839809251;0,5700296161349957;5,0
15;0,3;GB1;10;1;0,4732175476571258;0,545241326175631;0,5810006188531821;1,0
15;0,3;GB1;20;20;0,3056549445507989;0,4156837003726621;0,5029812606633909;2,0
15;0,3;GB1;20;10;0,3937159619707979;0,49804774077890707;0,587722660341039;8,0
15;0,3;GB1;20;1;0,5409842902177251;0,6025470608290401;0,6368574939807585;0,0
15;0,3;GB1;40;40;0,2591391969695611;0,5207994113660332;0,6493311948292404;5,0
15;0,3;GB1;40;20;0,3315742965907804;0,5139497413093241;0,6546869804137415;7,0
15;0,3;GB1;40;1;0,6822011180040096;0,7282003481663165;0,7752062809033271;5,0
15;0,3;GB1;60;60;0,2230855126289436;0,4260326446561371;0,612587165093673;1,0
15;0,3;GB1;60;30;0,3836887653367506;0,5161896257992551;0,618852747755276;3,0
15;0,3;GB1;60;1;0,6697470834062367;0,7003409694730871;0,7465639341868572;6,0
15;0,3;GB1;90;90;0,1272801765172692;0,3538868571194055;0,489665934360077;8,0
15;0,3;GB1;90;45;0,4279410834316716;0,5357919102134183;0,6826082562037682;2,0
15;0,3;GB1;90;1;0,7899684659802584;0,810624965378825;0,8300696537197939;6,0
15;0,3;GB2;10;10;0,5219905881959284;0,6076090623725598;0,7009587680231777;5,0
15;0,3;GB2;10;5;0,6509488650306131;0,6776570387161266;0,6913056257919231;8,0
15;0,3;GB2;10;1;0,607294732224195;0,6729087628299311;0,7076548269924872;1,0
15;0,3;GB2;20;20;0,5475331324407062;0,5911769643279151;0,6268347611141907;1,0
15;0,3;GB2;20;10;0,563415003987222;0,6345087054908904;0,6940114454838296;5,0
15;0,3;GB2;20;1;0,670898298097224;0,7345674085480935;0,7558518150626807;5,0
15;0,3;GB2;40;40;0,4803844614152614;0,5529188239638958;0,6263460864492179;2,0
15;0,3;GB2;40;20;0,5257524094823083;0,5834235032695773;0,6555180980701174;0,0
15;0,3;GB2;40;1;0,6794258819118755;0,7140365232965136;0,7579010154336644;6,0
15;0,3;GB2;60;60;0,3377616263808549;0,43754443951242494;0,5464665218103534;5,0
15;0,3;GB2;60;30;0,4538381462184463;0,5838839978311009;0,6636874556775431;4,0
15;0,3;GB2;60;1;0,6818953511672129;0,7144704421070656;0,7363568049952504;2,0
15;0,3;GB2;90;90;0,2845497616266667;0,46666484884333326;0,6016685981121735;7,0
15;0,3;GB2;90;45;0,5249746536245503;0,6027502207600783;0,6793503682679767;1,0
15;0,3;GB2;90;1;0,7219730598869833;0,755862208953725;0,7785861568566719;5,0
15;0,3;GB3;10;10;0,3248628152678952;0,3896886643049355;0,4290560721621114;9,0
15;0,3;GB3;10;5;0,283392978537233;0,3500728115231346;0,4268164895904121;3,0
15;0,3;GB3;10;1;0,2916033445765587;0,37568243009554536;0,438981221820775;0,0
15;0,3;GB3;20;20;0,3922167139434006;0,45254049970954996;0,4996897645614253;8,0
15;0,3;GB3;20;10;0,4281869803053747;0,4657961138281651;0,4998381481351073;6,0
15;0,3;GB3;20;1;0,4624006414762309;0,4707176273205437;0,4816775045422308;0,0
15;0,3;GB3;40;40;0,3979186870022816;0,4461020286497769;0,521240594131088;0,0
15;0,3;GB3;40;20;0,3976591222170301;0,45013679073851887;0,5043293386195926;2,0
15;0,3;GB3;40;1;0,4166881624179203;0,44273382764357977;0,4753114210274677;6,0
15;0,3;GB3;60;60;0,3094871830093575;0,4040896781827866;0,4668621746283174;6,0
15;0,3;GB3;60;30;0,2915340616175074;0,31577810223051406;0,3737361504498921;7,0
15;0,3;GB3;60;1;0,4234184684807874;0,4349379806173371;0,4406510728627451;5,0
15;0,3;GB3;90;90;0,3379809618695567;0,4032826249173193;0,500951647291816;2,0
15;0,3;GB3;90;45;0,2759267174039455;0,3355561676907531;0,4201846293094303;7,0
15;0,3;GB3;90;1;0,4114233900281712;0,43745459403731835;0,4654807938431535;9,0
15;0,3;GB5;10;10;0,5616147461750828;0,5696217711241603;0,5838439284123672;7,0
15;0,3;GB5;10;5;0,5608802522871361;0,5842978823143563;0,5959456949257281;3,0
15;0,3;GB5;10;1;0,5716405257932045;0,5891058601685641;0,601246552437603;3,0
15;0,3;GB5;20;20;0,5119589047685933;0,5366948878625044;0,5610047264603847;5,0
15;0,3;GB5;20;10;0,5094435971256223;0,5749709225550014;0,6039624580467639;9,0
15;0,3;GB5;20;1;0,6108611160262091;0,6212107115055573;0,6421159287009879;7,0
15;0,3;GB5;40;40;0,4451907502222342;0,49024952551740586;0,5483767857327863;3,0
15;0,3;GB5;40;20;0,439473363302127;0,5392406310767246;0,6083193982867292;9,0
15;0,3;GB5;40;1;0,5487163494464087;0,6162913899904083;0,6466167767822768;9,0
15;0,3;GB5;60;60;0,416313156460769;0,5125085908475789;0,5845763403198089;7,0
15;0,3;GB5;60;30;0,466533591739261;0,5078571315559901;0,5596057059912687;0,0
15;0,3;GB5;60;1;0,5694868668541219;0,612300589986185;0,6344485479615468;9,0
15;0,3;GB5;90;90;0,4003710323791032;0,463417381780413;0,5016435447192585;4,0
15;0,3;GB5;90;45;0,3068030983700847;0,38584309003440964;0,4981714676855467;4,0
