unidades capa1;unidades capa2;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
25;5;0,3;Simple-1-1P;5;5;0,7394464929119811;0,9504220031372024;0,9787209698591858;0,0
25;5;0,3;Simple-1-1P;5;2;0,9833857084936692;0,9850471376443023;1,0;8,0
25;5;0,3;Simple-1-1P;5;1;0,9787204979338638;0,9787204979338637;0,9787204979338638;0,0
25;5;0,3;Simple-1-1P;10;10;0,9261249968991352;0,9534948940047279;0,9757735519733838;1,0
25;5;0,3;Simple-1-1P;10;5;0,9530251207255478;0,9754904501247937;0,9883852041478014;7,0
25;5;0,3;Simple-1-1P;10;1;0,9648981977304306;0,9724454532481707;0,9766846863905292;1,0
25;5;0,3;Simple-1-1P;20;20;0,8820918272369519;0,9298035210777496;0,9710083124552245;2,0
25;5;0,3;Simple-1-1P;20;10;0,9572246704757676;0,9672443647025973;0,9858048156718612;8,0
25;5;0,3;Simple-1-1P;20;1;0,9400461128120312;0,950572818671386;0,966673018104058;6,0
25;5;0,3;Simple-1-1P;40;40;0,3244428422615251;0,8657697798552878;0,962719724682466;0,0
25;5;0,3;Simple-1-1P;40;20;0,9247721989276616;0,9547433990403805;0,981058891118368;1,0
25;5;0,3;Simple-1-1P;40;1;0,9070720598113454;0,9388610581210134;0,964743526350616;8,0
25;5;0,3;Simple-1-1P;60;60;0,4930493313022979;0,6526450993897321;0,8563488385776753;8,0
25;5;0,3;Simple-1-1P;60;30;0,5091750772173156;0,6494831132632547;0,8563488385776753;2,0
25;5;0,3;Simple-1-1P;60;1;0,0;0,2404668882283326;0,8766671158935871;8,0
25;5;0,3;Simple-1-1P-Nois025;5;5;0,9125128703542168;0,9591357702207122;0,9787209698591858;1,0
25;5;0,3;Simple-1-1P-Nois025;5;2;0,9665456669582608;0,9741439616315365;0,9833857084936692;3,0
25;5;0,3;Simple-1-1P-Nois025;5;1;0,9531270542157086;0,9684034586164231;0,9787204979338638;0,0
25;5;0,3;Simple-1-1P-Nois025;10;10;0,8480822585426637;0,885082109952809;0,9261249968991352;3,0
25;5;0,3;Simple-1-1P-Nois025;10;5;0,9289853059279986;0,9470439820657438;0,9766867720468236;5,0
25;5;0,3;Simple-1-1P-Nois025;10;1;0,9362335076133688;0,9508348694316755;0,9648981977304306;4,0
25;5;0,3;Simple-1-1P-Nois025;20;20;0,6897489428726739;0,8035337530728665;0,8820918272369519;8,0
25;5;0,3;Simple-1-1P-Nois025;20;10;0,7620631571506438;0,880683151400792;0,913801209119392;2,0
25;5;0,3;Simple-1-1P-Nois025;20;1;0,9100831170983796;0,9181770242793238;0,9301746423252276;5,0
25;5;0,3;Simple-1-1P-Nois025;40;40;0,0;0,6755653875035692;0,8164965809277261;0,0
25;5;0,3;Simple-1-1P-Nois025;40;20;0,6954859486383145;0,7677338431648841;0,8477336171829534;3,0
25;5;0,3;Simple-1-1P-Nois025;40;1;0,8208112564180831;0,8641772760618414;0,8828441263355317;3,0
25;5;0,3;Simple-1-1P-Nois025;60;60;0,3685138655950444;0,5527527060794358;0,8563488385776753;6,0
25;5;0,3;Simple-1-1P-Nois025;60;30;0,3892494720807615;0,5334456594678672;0,7890763647670371;6,0
25;5;0,3;Simple-1-1P-Nois025;60;1;0,0;0,3798850994095536;0,7812149170970154;7,0
