unidades capa1;unidades capa2;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
25;15;0,2;Simple-1-1P-Nois10;10;5;0,0;0,17909667884633412;0,3905667329424716;4,0
25;15;0,2;Simple-1-1P-Nois10;10;1;0,1061275082940396;0,15375461710492416;0,2808316475986555;9,0
25;15;0,2;Simple-1-1P-Nois10;20;20;0,1217249306518282;0,3377672326956639;0,5377381565646466;0,0
25;15;0,2;Simple-1-1P-Nois10;20;10;0,0766919717472963;0,217241585670219;0,3709966130235391;6,0
25;15;0,2;Simple-1-1P-Nois10;20;1;0,0742399549478012;0,13815763478816576;0,2257909431083551;7,0
25;15;0,2;Simple-1-1P-Nois10;40;40;0,1841149235796646;0,38640405798305677;0,5188745216627708;7,0
25;15;0,2;Simple-1-1P-Nois10;40;20;0,1245441196261788;0,21311705719222238;0,3701501546820385;6,0
25;15;0,2;Simple-1-1P-Nois10;40;1;0,0639616300026468;0,10293141294920001;0,1437298846948042;1,0
25;15;0,2;Simple-1-1P-Nois10;60;60;0,006017004011932;0,265872914706513;0,3892494720807615;2,0
25;15;0,2;Simple-1-1P-Nois10;60;30;0,0160934849861755;0,17825665933311813;0,2854496128592251;3,0
25;15;0,2;Simple-1-1P-Nois10;60;1;0,0526333635942311;0,08806635887824515;0,1248646655955198;3,0
25;15;0,2;Simple-1-1P-Nois20;5;5;0,0028270139709608;0,17313779663535775;0,2759540317064832;4,0
25;15;0,2;Simple-1-1P-Nois20;5;2;0,081221728170168;0,2941524463749421;0,5626071635674867;0,0
25;15;0,2;Simple-1-1P-Nois20;5;1;0,0155219158602503;0,17051014159527494;0,3383239383317742;1,0
25;15;0,2;Simple-1-1P-Nois20;10;10;0,0652372446795309;0,1912242493187701;0,2815739467138796;0,0
25;15;0,2;Simple-1-1P-Nois20;10;5;0,0286887655274623;0,145433031572057;0,2462623665730116;2,0
25;15;0,2;Simple-1-1P-Nois20;10;1;0,0275072534626812;0,11173365911159272;0,2256981629229246;5,0
25;15;0,2;Simple-1-1P-Nois20;20;20;0,0366535687499156;0,2222281453719682;0,3547758784013937;3,0
25;15;0,2;Simple-1-1P-Nois20;20;10;0,0451727285929983;0,17249708841051795;0,2408160006889342;8,0
25;15;0,2;Simple-1-1P-Nois20;20;1;0,0234095399513328;0,09693541984110496;0,1484761127082133;6,0
25;15;0,2;Simple-1-1P-Nois20;40;40;0,0;0,2591597562450135;0,4714045207910317;5,0
25;15;0,2;Simple-1-1P-Nois20;40;20;0,132110314132523;0,20565424820850908;0,30050125348238;5,0
25;15;0,2;Simple-1-1P-Nois20;40;1;0,0312145158135979;0,06958297257399158;0,0809566629397433;1,0
25;15;0,2;Simple-1-1P-Nois20;60;60;0,0335012605086404;0,19479184255059007;0,464420364012824;1,0
25;15;0,2;Simple-1-1P-Nois20;60;30;0,0804674249308779;0,22121075941556928;0,3267892015701871;4,0
25;15;0,2;Simple-1-1P-Nois20;60;1;0,0468685465600176;0,07190297393613641;0,0974694783298734;1,0
25;15;0,2;Simple-2P;5;5;0,1481388087879466;0,28206742086865333;0,44893986532976;1,0
25;15;0,2;Simple-2P;5;2;0,2384136033821602;0,29977146339998556;0,3521775748707038;3,0
25;15;0,2;Simple-2P;5;1;0,1153149210754462;0,2719887166369045;0,4140551098961272;3,0
25;15;0,2;Simple-2P;10;10;0,2507310669666008;0,3106234989056902;0,441047338425456;7,0
25;15;0,2;Simple-2P;10;5;0,1440303766153705;0,223139760363717;0,3253481420628082;5,0
25;15;0,2;Simple-2P;10;1;0,1771663947757593;0,26718086303397603;0,399494128968243;9,0
25;15;0,2;Simple-2P;20;20;0,1311450235388945;0,23643962730210308;0,3579949978463373;4,0
25;15;0,2;Simple-2P;20;10;0,188426677527429;0,28864153118418334;0,4020123048558131;9,0
25;15;0,2;Simple-2P;20;1;0,1340764588635295;0,19568496941226068;0,3156116560160934;0,0
25;15;0,2;Simple-2P;40;40;0,2308591186824161;0,31434502693811606;0,4345882797950081;2,0
25;15;0,2;Simple-2P;40;20;0,191244573949486;0,2500179835496587;0,3427944818636436;5,0
25;15;0,2;Simple-2P;40;1;0,0888525249057549;0,14400353707064392;0,2543421554423767;4,0
25;15;0,2;Simple-2P;60;60;0,1044465935734187;0,25736713611457535;0,4217624898963845;7,0
25;15;0,2;Simple-2P;60;30;0,1527207096642425;0,23171669656381733;0,3998659408696733;3,0
25;15;0,2;Simple-2P;60;1;0,0791218374953862;0,10616885342117707;0,140211011007038;6,0
25;15;0,2;Simple-2P-Nois025;5;5;0,099244385526666;0,2628838683838058;0,44893986532976;0,0
25;15;0,2;Simple-2P-Nois025;5;2;0,194468348119554;0,28496717193589893;0,4270619664727957;6,0
25;15;0,2;Simple-2P-Nois025;5;1;0,0665437705092718;0,2440304570989416;0,4084665598642188;0,0
25;15;0,2;Simple-2P-Nois025;10;10;0,1469086789887123;0,28527337649328033;0,4901692635534929;4,0
25;15;0,2;Simple-2P-Nois025;10;5;0,1017171508027598;0,23039890212474606;0,3416663250326662;2,0
25;15;0,2;Simple-2P-Nois025;10;1;0,1444737299034174;0,21055160470596723;0,2782711028177728;0,0
25;15;0,2;Simple-2P-Nois025;20;20;0,18641092980036;0,2884152149455117;0,43495883620084;9,0
25;15;0,2;Simple-2P-Nois025;20;10;0,2112069120006559;0,2385970898163959;0,2863155935187909;4,0
25;15;0,2;Simple-2P-Nois025;20;1;0,0992080904555098;0,15326239355776353;0,2011455415371993;4,0
25;15;0,2;Simple-2P-Nois025;40;40;0,1598049886849661;0,2472611353100719;0,3571037788198093;2,0
25;15;0,2;Simple-2P-Nois025;40;20;0,1190879673351858;0,19435525585491437;0,2621600318263719;3,0
25;15;0,2;Simple-2P-Nois025;40;1;0,0846745873372295;0,10580053974967614;0,1207471038187166;7,0
25;15;0,2;Simple-2P-Nois025;60;60;0,1273364024424013;0,340456766438585;0,5038092444460225;5,0
25;15;0,2;Simple-2P-Nois025;60;30;0,074604709695299;0,21723158320513286;0,2831049681753498;6,0
25;15;0,2;Simple-2P-Nois025;60;1;0,0837324267871236;0,11766283886763387;0,1453397315345077;8,0
25;15;0,2;Simple-2P-Nois05;5;5;0,0488484272029349;0,20815245711014474;0,3651596735990692;0,0
25;15;0,2;Simple-2P-Nois05;5;2;0,0102417215438545;0,181121367755376;0,2755736928936682;7,0
25;15;0,2;Simple-2P-Nois05;5;1;0,0665437705092718;0,17043344828928725;0,3347353489017601;4,0
25;15;0,2;Simple-2P-Nois05;10;10;0,1427819164536559;0,2727871070127069;0,3253481420628082;2,0
25;15;0,2;Simple-2P-Nois05;10;5;0,1099731217869186;0,21416111085382755;0,3253481420628082;8,0
25;15;0,2;Simple-2P-Nois05;10;1;0,0455835393165798;0,18254584911669403;0,2704225209245654;4,0
25;15;0,2;Simple-2P-Nois05;20;20;0,0770658581545317;0,1990293231149161;0,3296712775422553;0,0
25;15;0,2;Simple-2P-Nois05;20;10;0,188426677527429;0,2385083423091225;0,3647717022753765;2,0
25;15;0,2;Simple-2P-Nois05;20;1;0,0819573141670425;0,12439196848490078;0,1746451627776045;7,0
25;15;0,2;Simple-2P-Nois05;40;40;0,2186805108320589;0,25924898166967764;0,3416774379179598;8,0
25;15;0,2;Simple-2P-Nois05;40;20;0,0837815373599509;0,15648876254083205;0,2287038461497026;0,0
25;15;0,2;Simple-2P-Nois05;40;1;0,0421771873583036;0,10227351813217475;0,1376090334962257;4,0
25;15;0,2;Simple-2P-Nois05;60;60;0,1044465935734187;0,31162203071103345;0,5038092444460225;2,0
25;15;0,2;Simple-2P-Nois05;60;30;0,074604709695299;0,20152375490418278;0,3123504405774236;7,0
25;15;0,2;Simple-2P-Nois05;60;1;0,0356554537803018;0,07185359483384295;0,0963445830493183;7,0
25;15;0,2;Simple-2P-Nois10;5;5;0,0615874366931781;0,2578677664314873;0,4227243411389259;0,0
25;15;0,2;Simple-2P-Nois10;5;2;0,1373720331228374;0,21227299026898186;0,3521775748707038;4,0
25;15;0,2;Simple-2P-Nois10;5;1;0,1489455636929703;0,22055205206496983;0,2913730315573717;3,0
25;15;0,2;Simple-2P-Nois10;10;10;0,1148272017837235;0,2185558406900557;0,3389843938269803;6,0
25;15;0,2;Simple-2P-Nois10;10;5;0,1010619349812829;0,15227187907368595;0,2711648414531185;1,0
25;15;0,2;Simple-2P-Nois10;10;1;0,064481006012276;0,15940277196240826;0,2386711815430696;7,0
25;15;0,2;Simple-2P-Nois10;20;20;0,0142552000872144;0,1635347013943786;0,2968766659783511;7,0
25;15;0,2;Simple-2P-Nois10;20;10;0,1325631554231035;0,19446261189729433;0,2549433490929477;6,0
