unidades capa1;unidades capa2;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
15;10;0,2;Simple-1-1P;5;5;0,9787209698591858;0,9787209698591857;0,9787209698591858;0,0
15;10;0,2;Simple-1-1P;5;2;0,9833857084936692;0,9850526350025323;0,9917203410379845;3,0
15;10;0,2;Simple-1-1P;5;1;0,9787204979338638;0,9795760581336657;0,9872760999318811;6,0
15;10;0,2;Simple-1-1P;10;10;0,8480822585426637;0,9530747116154622;0,9757735519733838;1,0
15;10;0,2;Simple-1-1P;10;5;0,9530251207255478;0,9743206069146959;0,9766867720468236;0,0
15;10;0,2;Simple-1-1P;10;1;0,9648981977304306;0,9726808263973947;0,9766846863905292;2,0
15;10;0,2;Simple-1-1P;20;20;0,7568115253570189;0,8716264810237689;0,9417249213225096;0,0
15;10;0,2;Simple-1-1P;20;10;0,913801209119392;0,9499590913160022;0,9715480298902084;1,0
15;10;0,2;Simple-1-1P;20;1;0,9400461128120312;0,9546394958544357;0,966673018104058;4,0
15;10;0,2;Simple-1-1P;40;40;0,7801894976054939;0,9114617754630459;1,0;7,0
15;10;0,2;Simple-1-1P;40;20;0,8690481892534816;0,941680180744726;0,981058891118368;6,0
15;10;0,2;Simple-1-1P;40;1;0,887108840029716;0,9289794603036988;0,9490953950873008;4,0
15;10;0,2;Simple-1-1P;60;60;0,4308202184276645;0,7179587339127582;0,9504639091054836;2,0
15;10;0,2;Simple-1-1P;60;30;0,5742873814325569;0,7438407441851096;0,8793421577437803;0,0
15;10;0,2;Simple-1-1P;60;1;0,7830472592857494;0,8642497258562557;0,9138761643865672;8,0
15;10;0,2;Simple-1-1P-Nois025;5;5;0,9350057795865552;0,959297437775167;0,9787209698591858;1,0
15;10;0,2;Simple-1-1P-Nois025;5;2;0,9494675436592588;0,9640280219460413;0,9749946534150248;2,0
15;10;0,2;Simple-1-1P-Nois025;5;1;0,961426885268018;0,967940671246166;0,9701161646205272;5,0
15;10;0,2;Simple-1-1P-Nois025;10;10;0,7929074843354966;0,8973695278288798;0,9511599138187792;2,0
15;10;0,2;Simple-1-1P-Nois025;10;5;0,8808262479433093;0,9398383637936893;0,9530953041229876;0,0
15;10;0,2;Simple-1-1P-Nois025;10;1;0,9362335076133688;0,9501166223224367;0,9649026815913327;2,0
15;10;0,2;Simple-1-1P-Nois025;20;20;0,7890763647670371;0,8548031923378415;0,9417249213225096;3,0
15;10;0,2;Simple-1-1P-Nois025;20;10;0,7935177696737814;0,8557862806639551;0,913801209119392;0,0
15;10;0,2;Simple-1-1P-Nois025;20;1;0,9060474392000408;0,9172125447729955;0,9329986529928574;9,0
