unidades capa1;unidades capa2;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
20;15;0,2;Simple-1-1P;5;5;0,9787209698591858;0,9787209698591857;0,9787209698591858;0,0
20;15;0,2;Simple-1-1P;5;2;0,9749946534150248;0,9850414953908695;1,0;6,0
20;15;0,2;Simple-1-1P;5;1;0,9787204979338638;0,9787204979338637;0,9787204979338638;0,0
20;15;0,2;Simple-1-1P;10;10;0,8209220690651828;0,9330448902064828;0,9757735519733838;2,0
20;15;0,2;Simple-1-1P;10;5;0,9649012813540154;0,9731511248389811;0,9766867720468236;0,0
20;15;0,2;Simple-1-1P;10;1;0,9554039261344854;0,9729096972238617;0,9766846863905292;0,0
20;15;0,2;Simple-1-1P;20;20;0,8206518066482898;0,8966761847042897;0,9710083124552245;8,0
20;15;0,2;Simple-1-1P;20;10;0,8844147498778357;0,9556304268845732;0,9858048156718612;0,0
20;15;0,2;Simple-1-1P;20;1;0,938638035668322;0,9495924721864343;0,9624840738259092;6,0
20;15;0,2;Simple-1-1P;40;40;0,8528028654224417;0,9407253516021976;1,0;6,0
20;15;0,2;Simple-1-1P;40;20;0,8875800856756891;0,9472639339083191;0,981058891118368;6,0
20;15;0,2;Simple-1-1P;40;1;0,850070351903126;0,9291173650955795;0,9527709910013468;1,0
20;15;0,2;Simple-1-1P;60;60;0,6808829066491902;0,8356862569116764;0,9504639091054836;1,0
20;15;0,2;Simple-1-1P;60;30;0,5527707983925666;0,7882116005614168;0,8793421577437803;0,0
20;15;0,2;Simple-1-1P;60;1;0,7837712202221013;0,8675598708780512;0,9336653976575808;8,0
20;15;0,2;Simple-1-1P-Nois025;5;5;0,9125128703542168;0,9591066806724987;0,9787209698591858;0,0
20;15;0,2;Simple-1-1P-Nois025;5;2;0,9494675436592588;0,9673661437394241;0,9833857084936692;4,0
20;15;0,2;Simple-1-1P-Nois025;5;1;0,9570642501860772;0,9687933302968645;0,9787204979338638;1,0
20;15;0,2;Simple-1-1P-Nois025;10;10;0,7644969325188323;0,88224673281364;0,9511599138187792;8,0
20;15;0,2;Simple-1-1P-Nois025;10;5;0,9289853059279986;0,9410383289691217;0,9530953041229876;2,0
20;15;0,2;Simple-1-1P-Nois025;10;1;0,9433937015404196;0,9513020311001634;0,9743344636977714;4,0
20;15;0,2;Simple-1-1P-Nois025;20;20;0,7237468644557459;0,8289372523116215;0,9121034881575903;9,0
20;15;0,2;Simple-1-1P-Nois025;20;10;0,6968397822561649;0,861003925580017;0,9133775774753002;9,0
20;15;0,2;Simple-1-1P-Nois025;20;1;0,9030974760739764;0,9127226573438728;0,9200074184002126;9,0
20;15;0,2;Simple-1-1P-Nois025;40;40;0,6130060338328881;0,7155087139904015;0,7728525967890878;4,0
20;15;0,2;Simple-1-1P-Nois025;40;20;0,7147494509564558;0,7660596272912283;0,8320502943378437;0,0
20;15;0,2;Simple-1-1P-Nois025;40;1;0,8389814173246357;0,8666011934164135;0,882342981698173;5,0
20;15;0,2;Simple-1-1P-Nois025;60;60;0,4530333378893934;0,6331877093443943;0,8563488385776753;2,0
20;15;0,2;Simple-1-1P-Nois025;60;30;0,6455022270395531;0,6989925309828884;0,8336600666661518;7,0
20;15;0,2;Simple-1-1P-Nois025;60;1;0,710196861173978;0,7591747644664414;0,7791823653432048;8,0
20;15;0,2;Simple-1-1P-Nois05;5;5;0,8660880208557604;0,9012650799170636;0,9350057795865552;4,0
20;15;0,2;Simple-1-1P-Nois05;5;2;0,8966520938163055;0,9091934602956563;0,9145548444288192;3,0
20;15;0,2;Simple-1-1P-Nois05;5;1;0,907957558537058;0,9134101683246365;0,917069871232624;7,0
