unidades capa1;ratio de dropout;promedio MCC general;promedio MCC (GB1);mejor MCC (GB1);promedio MCC (GB2);mejor MCC (GB2);promedio MCC (GB3);mejor MCC (GB3);promedio MCC (GB5);mejor MCC (GB5);promedio MCC (GB7);mejor MCC (GB7);promedio MCC (GB10);mejor MCC (GB10)
25;0,2;0,6057057783500953;0,5795306444547693;0,8179947551293895;0,6354500173995061;0,7568174008112759;0,4261987542432409;0,4940093774473449;0,5564476548434931;0,6253913525886907;0,8617536084275397;0,9605884923825212;0,5748539907320228;0,6441817733952095
25;0,3;0,6063059126397667;0,5798941832757974;0,8268012882151765;0,6357619427036326;0,7630299982795893;0,43004985631767706;0,4904975889270691;0,5569860195289602;0,6304934241751776;0,8601287196623545;0,9592256243243448;0,5750147543501787;0,6468898600175716
20;0,2;0,5996399522993973;0,5681521528611597;0,8124324774509148;0,6343327179021035;0,7590429693401283;0,41891746502959104;0,4942457544636592;0,5527346882893241;0,6261061494792448;0,8527490503686461;0,955099029751766;0,5709536393455583;0,6467097619158967
20;0,3;0,5985861784192906;0,5628836661545495;0,8204057287045586;0,6312580423591901;0,7598413916501127;0,42300331256766566;0,4920172803556678;0,5530146917262225;0,6266362824428893;0,8482549001777032;0,9506558250851692;0,5731024575304126;0,6464157085601705
15;0,2;0,5890423080851113;0,5456931248267322;0,811285650807809;0,6248500737822202;0,7599332929007415;0,4150768355733025;0,4824121977554266;0,548483955380992;0,6220482640537706;0,8382189738201665;0,9453712588875044;0,5619308851272549;0,6265465064647582
15;0,3;0,586524147073423;0,5406870207079233;0,810624965378825;0,6219988633882155;0,755862208953725;0,41163799609931856;0,4707176273205437;0,5469913638360056;0,6212107115055573;0,838865652248156;0,9376482743727224;0,5589639861609197;0,640232799113393
