capa intermedia;bottleneck;promedio MCC general;promedio MCC (GB1);mejor MCC (GB1);promedio MCC (GB2);mejor MCC (GB2);promedio MCC (GB3);mejor MCC (GB3);promedio MCC (GB5);mejor MCC (GB5);promedio MCC (GB7);mejor MCC (GB7);promedio MCC (GB10);mejor MCC (GB10)
25;15;0,2789688158041989;0,15348276014560855;0,186693296595327;0,33211528534318857;0,4380858271151805;0,14106325715291504;0,2175101361683537;0,38766769497931225;0,4214267860108692;0,3704606546881332;0,4542567625794979;0,28902324251603556;0,3308535315956663
25;10;0,27888296902855786;0,15362746176757627;0,186693296595327;0,33136410279769973;0,4303282882976079;0,14103884649710977;0,2175101361683537;0,38782559602954075;0,4196985404620031;0,37006423984855813;0,4542567625794979;0,28937756723086244;0,3315148383254983
25;5;0,278957321965015;0,15340268056246983;0,186693296595327;0,33226249457913115;0,4380858271151805;0,14096584590946068;0,2175101361683537;0,3880854367264846;0,4214267860108692;0,3698599621546553;0,4542567625794979;0,2891675118578883;0,3317989978012826
20;15;0,27872790139548065;0,15325677843176455;0,186693296595327;0,3309980131744113;0,4148132106624626;0,1413597011529257;0,2175101361683537;0,38807595468814227;0,4214267860108692;0,36995752076766575;0,4542567625794979;0,2887194401579742;0,3310809396108413
20;10;0,27882930744551393;0,15369750333169832;0,186693296595327;0,3316444747425424;0,4225707494800352;0,14106325715291504;0,2175101361683537;0,3880523661097928;0,4214267860108692;0,3697061084819029;0,4517608463015886;0,2888121348542321;0,3312874303103233
20;5;0,2788043995424086;0,15341049762441047;0,186693296595327;0,33174865080053345;0,4225707494800352;0,14106325715291504;0,2175101361683537;0,3874722682994787;0,4165174126091532;0,37020274975841433;0,4542567625794979;0,2889289736186997;0,3291586776863497
15;15;0,27883808263769727;0,15334450993131077;0,186693296595327;0,33208610245037007;0,4225707494800352;0,1408057809420813;0,2175101361683537;0,3877448392499437;0,4196985404620031;0,36981751520491035;0,4542567625794979;0,28922974804756735;0,3310809396108413
15;10;0,2786291337277236;0,15332870902765816;0,186693296595327;0,3313070230927057;0,4225707494800352;0,14106325715291504;0,2175101361683537;0,3881733948177149;0,4214267860108692;0,3694477640319917;0,4542567625794979;0,28845465424335587;0,3304196328810093
15;5;0,27872038596427884;0,15343101720129967;0,186693296595327;0,33045572766427134;0,40705567184489;0,1413597011529257;0,2175101361683537;0,38756078779943515;0,416187946312461;0,3709098219780574;0,4542567625794979;0,2886052599896837;0,3295309181360023
