unidades capa1;unidades capa2;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
20;15;0,2;GB1;10;10;0,2992380423978844;0,47806629290179253;0,54900488104639;0,0
20;15;0,2;GB1;10;5;0,5700296161349957;0,6003400096491016;0,6271513540591138;9,0
20;15;0,2;GB1;10;1;0,5700292746456168;0,7104921647692937;0,8502908731445966;0,0
20;15;0,2;GB1;20;20;0,3782902106110949;0,5228564367248872;0,6506780043613474;7,0
20;15;0,2;GB1;20;10;0,4592118745521821;0,5374025212148916;0,6210326617386841;2,0
20;15;0,2;GB1;20;1;0,734065271853925;0,7614572726932168;0,7921717714833711;5,0
20;15;0,2;GB1;40;40;0,2902303214442157;0,485997047546047;0,5988840903423737;8,0
20;15;0,2;GB1;40;20;0,3925146587977928;0,4877320294960651;0,7065053634159912;3,0
20;15;0,2;GB1;40;1;0,6050704521530815;0,7245776696014008;0,782383796527581;9,0
20;15;0,2;GB1;60;60;0,1697903053855558;0,354844120112427;0,4851079668748027;7,0
20;15;0,2;GB1;60;30;0,111308581669514;0,4401291894782774;0,5476355664659783;7,0
20;15;0,2;GB1;60;1;0,715893547437949;0,7543771012447444;0,7946124720605953;0,0
20;15;0,2;GB1;90;90;0,2317127475864801;0,34211476879408237;0,398904986853954;0,0
20;15;0,2;GB1;90;45;0,2132464430513331;0,4601360625406847;0,6079635691614109;7,0
20;15;0,2;GB1;90;1;0,7893913843063348;0,8123572874210103;0,8381832416906818;1,0
20;15;0,2;GB2;10;10;0,6160133643575311;0,6724476661019987;0,7292434449745815;2,0
20;15;0,2;GB2;10;5;0,6739294620972373;0,7018919645901892;0,7307618707585124;0,0
20;15;0,2;GB2;10;1;0,6775820955670719;0,7240405129554907;0,7639245086284561;8,0
20;15;0,2;GB2;20;20;0,5433027043988314;0,606680334315059;0,6567064589084585;7,0
20;15;0,2;GB2;20;10;0,5593703775566194;0,6232081632730999;0,6900514933186023;5,0
20;15;0,2;GB2;20;1;0,6249594387184042;0,6915111293246529;0,7507136133787145;2,0
20;15;0,2;GB2;40;40;0,4095563626733777;0,49116560666910436;0,6263460864492179;6,0
20;15;0,2;GB2;40;20;0,4925808799382302;0,5793075283691731;0,6293704027601248;0,0
20;15;0,2;GB2;40;1;0,5566380359504093;0,7085595390058791;0,7610977967382032;8,0
20;15;0,2;GB2;60;60;0,3926405874867363;0,460785300266234;0,5648558944080362;5,0
20;15;0,2;GB2;60;30;0,3381169091591693;0,47981471429324846;0,6291082430533855;2,0
20;15;0,2;GB2;60;1;0,5240355236579555;0,6762818866191915;0,7547197581242415;2,0
