unidades capa1;unidades capa2;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
15;10;0,3;GB1;10;10;0,2992380423978844;0,4295963169833488;0,5190758630581039;5,0
15;10;0,3;GB1;10;5;0,5527467177144239;0,577804470338994;0,5966448435079743;0,0
15;10;0,3;GB1;10;1;0,5506561236351847;0,60501345478521;0,6560609691687425;6,0
15;10;0,3;GB1;20;20;0,2470133473314631;0,42123098569587947;0,5415449833643157;8,0
15;10;0,3;GB1;20;10;0,318679101589108;0,5041827041269783;0,6119049205409901;7,0
15;10;0,3;GB1;20;1;0,5651326471855365;0,6607572610038743;0,7686457625507488;5,0
15;10;0,3;GB1;40;40;0,2110189891723227;0,4270888698133257;0,5819143739626463;9,0
15;10;0,3;GB1;40;20;0,2266278060416982;0,46308168208182066;0,6213729073975363;6,0
15;10;0,3;GB1;40;1;0,3827655588238092;0,5838067161962235;0,7699703981454298;7,0
15;10;0,3;GB1;60;60;0,2723069484076272;0,34889517376966683;0,612587165093673;1,0
15;10;0,3;GB1;60;30;0,2901905000440046;0,45174759317255475;0,5830171120636416;3,0
15;10;0,3;GB1;60;1;0,5202623378367228;0,6138737642739079;0,692816222246132;2,0
15;10;0,3;GB1;90;90;0,0942491249338977;0,26044483456880957;0,5667069553230909;7,0
15;10;0,3;GB1;90;45;0,2132464430513331;0,37182801399635507;0,5702977753971397;3,0
15;10;0,3;GB1;90;1;0,4372496893970483;0,7686846268965744;0,8253430957555704;5,0
15;10;0,3;GB2;10;10;0,6170790885557852;0,6727501179637955;0,7109519593732074;5,0
15;10;0,3;GB2;10;5;0,665925618424753;0,6977819179338784;0,7239966208936969;4,0
15;10;0,3;GB2;10;1;0,6730463772772154;0,7146216040613085;0,7623709580017345;8,0
15;10;0,3;GB2;20;20;0,5199509946018425;0,5988996760642785;0,6583023696038589;2,0
15;10;0,3;GB2;20;10;0,5982673510759963;0,6460752422100502;0,7039230199851961;6,0
15;10;0,3;GB2;20;1;0,5803270912065258;0,6602512600982182;0,7376616714955403;4,0
15;10;0,3;GB2;40;40;0,3458572319330373;0,5280686803353404;0,5968392668541321;0,0
15;10;0,3;GB2;40;20;0,4516381380212764;0,5494638770968331;0,6442210813399483;5,0
15;10;0,3;GB2;40;1;0,6827667796511586;0,7121025972876315;0,7407037928713125;8,0
15;10;0,3;GB2;60;60;0,2821026937031897;0,40122279105408776;0,5426745778183478;4,0
15;10;0,3;GB2;60;30;0,2330915211532109;0,46058430893718044;0,5625942321678505;2,0
15;10;0,3;GB2;60;1;0,5093818690403774;0,6783182497305603;0,7433472253487428;2,0
15;10;0,3;GB2;90;90;0,2336321804899024;0,34913905726551164;0,4905768132495717;6,0
15;10;0,3;GB2;90;45;0,4119835852235852;0,5489679052414422;0,6867066882154685;7,0
15;10;0,3;GB2;90;1;0,6565860167576597;0,7372014836773768;0,7800741538828309;8,0
15;10;0,3;GB3;10;10;0,4175413094614286;0,4478247539906305;0,4966767225235236;3,0
15;10;0,3;GB3;10;5;0,3893122284174113;0,43872873464119283;0,4891269898546233;9,0
15;10;0,3;GB3;10;1;0,421175604794895;0,4731176064624959;0,519036393312291;8,0
15;10;0,3;GB3;20;20;0,3936545503994035;0,4517423710856283;0,5187146152496208;4,0
15;10;0,3;GB3;20;10;0,4468526105105221;0,4892505806651114;0,5299116779777281;6,0
15;10;0,3;GB3;20;1;0,4478376737042417;0,4790085745436681;0,4919207827368791;0,0
15;10;0,3;GB3;40;40;0,4270833333333333;0,47048183454532;0,521240594131088;8,0
15;10;0,3;GB3;40;20;0,4129165969391128;0,4713925663935643;0,5379301213937122;2,0
15;10;0,3;GB3;40;1;0,3160910748369815;0,4635632755298249;0,5011552526941024;4,0
15;10;0,3;GB3;60;60;0,258353264177788;0,37583906833751546;0,5004143038348311;7,0
15;10;0,3;GB3;60;30;0,2899472345236442;0,33882926702613364;0,4490866049163552;1,0
15;10;0,3;GB3;60;1;0,4329078484413913;0,47507794486358546;0,5201200784283806;7,0
15;10;0,3;GB3;90;90;0,2208667817846241;0,3621544776652059;0,4495772250310292;2,0
15;10;0,3;GB3;90;45;0,2094931620500068;0,33781768147332064;0,4197875339343918;2,0
15;10;0,3;GB3;90;1;0,4241606445012435;0,48201926787223404;0,5237823954662789;5,0
15;10;0,3;GB5;10;10;0,5330260844952744;0,5610070529813941;0,593338769768715;5,0
15;10;0,3;GB5;10;5;0,5807466431131585;0,6102624838781789;0,6324800399020776;3,0
15;10;0,3;GB5;10;1;0,5781367962427302;0,6090854747785162;0,6294669375820202;8,0
15;10;0,3;GB5;20;20;0,4908124870200009;0,574040051355888;0,6548213274046292;8,0
15;10;0,3;GB5;20;10;0,5430171336174859;0,6024402202743591;0,6426362155850845;7,0
15;10;0,3;GB5;20;1;0,578823115410987;0,6128137846570928;0,6415728140982544;2,0
15;10;0,3;GB5;40;40;0,3955763329487107;0,4805018022123118;0,5611705647987419;6,0
15;10;0,3;GB5;40;20;0,4943670255407184;0,559373901478811;0,6027241767436325;0,0
