unidades capa1;unidades capa2;ratio de dropout;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
15;5;0,2;GB1;10;10;0,2643366895652528;0,41745099820152626;0,5069820495983796;0,0
15;5;0,2;GB1;10;5;0,4969788243046467;0,5495576062295658;0,5794678731278633;8,0
15;5;0,2;GB1;10;1;0,555918050509515;0,6213072076109423;0,7169806736042329;3,0
15;5;0,2;GB1;20;20;0,3056549445507989;0,4222121675707589;0,5304740351099578;1,0
15;5;0,2;GB1;20;10;0,3274069725627733;0,4764893929027191;0,5599496399301325;3,0
15;5;0,2;GB1;20;1;0,575421590418285;0,6446159045818385;0,7599242230043517;3,0
15;5;0,2;GB1;40;40;0,3695247192501502;0,4961431469636538;0,6685087748499449;5,0
15;5;0,2;GB1;40;20;0,3492747627646056;0,5030810179196015;0,6273425547647233;8,0
15;5;0,2;GB1;40;1;0,4784859446520565;0,6631323154883166;0,7973948013103997;1,0
15;5;0,2;GB1;60;60;0,2166814641811899;0,37407074844577665;0,5470838137805754;3,0
15;5;0,2;GB1;60;30;0,2901905000440046;0,4661323896618269;0,618852747755276;3,0
15;5;0,2;GB1;60;1;0,5045865156641902;0,6667179872507659;0,7417005929797095;2,0
15;5;0,2;GB1;90;90;0,1889462763150157;0,37802451556535915;0,5667069553230909;7,0
15;5;0,2;GB1;90;45;0,0370487358525413;0,39819788179668186;0,6097819658821076;6,0
15;5;0,2;GB1;90;1;0,7215737375614515;0,7852250180734829;0,8155298984565557;0,0
15;5;0,2;GB2;10;10;0,5639549943272285;0,6515829704036591;0,7009587680231777;2,0
15;5;0,2;GB2;10;5;0,6487859603671474;0,6853271780217933;0,7282269490200117;7,0
15;5;0,2;GB2;10;1;0,6437419083669875;0,702213687548546;0,7454554386997392;3,0
15;5;0,2;GB2;20;20;0,5265216729444937;0,6022644609423506;0,6746207033631744;4,0
15;5;0,2;GB2;20;10;0,5631550766057221;0,637319336430938;0,6944368184761415;4,0
15;5;0,2;GB2;20;1;0,5317257822817986;0,6906696943595639;0,7424419131968162;9,0
15;5;0,2;GB2;40;40;0,4636260751400387;0,5396937027788344;0,6075677106594167;2,0
15;5;0,2;GB2;40;20;0,4439454115395368;0,5033126420894037;0,5915153508252574;2,0
15;5;0,2;GB2;40;1;0,545199070821342;0,6968199368518749;0,7585030534640742;6,0
15;5;0,2;GB2;60;60;0,1506971098807265;0,4175227781407028;0,5334991445119637;5,0
15;5;0,2;GB2;60;30;0,4008655887636779;0,503378341068446;0,5913839573682734;2,0
15;5;0,2;GB2;60;1;0,6589370285496811;0,7178544106866744;0,7695682598919842;2,0
15;5;0,2;GB2;90;90;0,2989107451955946;0,4155492352942076;0,5300279037015693;4,0
15;5;0,2;GB2;90;45;0,4325399954445512;0,5484436502582026;0,6407898239528951;2,0
15;5;0,2;GB2;90;1;0,6572322230081595;0,7358270906736608;0,7775533303282766;5,0
15;5;0,2;GB3;10;10;0,4048246490127307;0,44444416209891546;0,4808025155452579;4,0
15;5;0,2;GB3;10;5;0,4039292077837507;0,43963070615764843;0,4690626841921822;7,0
15;5;0,2;GB3;10;1;0,4153856122280705;0,46503866230126556;0,5093210024723556;6,0
