capa intermedia;bottleneck;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
25;10;Simple-1-1P;20;20;1,0;1,0;1,0;0,0
25;10;Simple-1-1P;20;10;0,9715480298902084;0,9715480298902083;0,9715480298902084;0,0
25;10;Simple-1-1P;20;1;0,9498834328912958;0,9542157276142188;0,983375883334678;4,0
25;10;Simple-1-1P;40;40;0,7071067811865475;0,7071067811865476;0,7071067811865475;0,0
25;10;Simple-1-1P;40;20;0,7205766921228921;0,720576692122892;0,7205766921228921;0,0
25;10;Simple-1-1P;40;1;0,6993120340692758;0,6993120340692759;0,6993120340692758;0,0
25;10;Simple-1-1P;60;60;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
25;10;Simple-1-1P;60;30;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
25;10;Simple-1-1P;60;1;0,5376905073640548;0,5376905073640547;0,5376905073640548;0,0
25;10;Simple-1-1P-Nois025;20;20;0,9710083124552245;0,9710083124552243;0,9710083124552245;0,0
25;10;Simple-1-1P-Nois025;20;10;0,9715480298902084;0,9715480298902083;0,9715480298902084;0,0
25;10;Simple-1-1P-Nois025;20;1;0,9582289334491986;0,9607436284377465;0,9610230389920296;0,0
25;10;Simple-1-1P-Nois025;40;40;0,7071067811865475;0,7071067811865476;0,7071067811865475;0,0
25;10;Simple-1-1P-Nois025;40;20;0,7205766921228921;0,720576692122892;0,7205766921228921;0,0
25;10;Simple-1-1P-Nois025;40;1;0,6993120340692758;0,6993120340692759;0,6993120340692758;0,0
25;10;Simple-1-1P-Nois025;60;60;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
25;10;Simple-1-1P-Nois025;60;30;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
25;10;Simple-1-1P-Nois025;60;1;0,5376905073640548;0,5376905073640547;0,5376905073640548;0,0
25;10;Simple-1-1P-Nois05;20;20;0,9121593238215744;0,9151713856674112;0,9422799422799424;3,0
25;10;Simple-1-1P-Nois05;20;10;0,8991560110168552;0,9119987499096576;0,91381086827732;2,0
25;10;Simple-1-1P-Nois05;20;1;0,8808732587909182;0,8922925836664009;0,9013694829263996;2,0
25;10;Simple-1-1P-Nois05;40;40;0,7071067811865475;0,7071067811865476;0,7071067811865475;0,0
25;10;Simple-1-1P-Nois05;40;20;0,7205766921228921;0,720576692122892;0,7205766921228921;0,0
25;10;Simple-1-1P-Nois05;40;1;0,6993120340692758;0,6993120340692759;0,6993120340692758;0,0
25;10;Simple-1-1P-Nois05;60;60;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
25;10;Simple-1-1P-Nois05;60;30;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
25;10;Simple-1-1P-Nois05;60;1;0,5376905073640548;0,5376905073640547;0,5376905073640548;0,0
25;10;Simple-1-1P-Nois10;20;20;0,8206518066482898;0,84543486313177;0,8516306272526402;0,0
25;10;Simple-1-1P-Nois10;20;10;0,7935177696737814;0,8310028733501482;0,8695703711549787;9,0
25;10;Simple-1-1P-Nois10;20;1;0,7985243676543307;0,8068229253093744;0,811291379431321;3,0
25;10;Simple-1-1P-Nois10;40;40;0,7071067811865475;0,7071067811865476;0,7071067811865475;0,0
25;10;Simple-1-1P-Nois10;40;20;0,7205766921228921;0,720576692122892;0,7205766921228921;0,0
25;10;Simple-1-1P-Nois10;40;1;0,6993120340692758;0,6993120340692759;0,6993120340692758;0,0
25;10;Simple-1-1P-Nois10;60;60;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
25;10;Simple-1-1P-Nois10;60;30;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
25;10;Simple-1-1P-Nois10;60;1;0,5376905073640548;0,5376905073640547;0,5376905073640548;0,0
25;10;Simple-1-1P-Nois20;20;20;0,7237468644557459;0,736398104719694;0,7871131554910765;2,0
25;10;Simple-1-1P-Nois20;20;10;0,6935120294033241;0,7366256196327655;0,7620631571506438;0,0
25;10;Simple-1-1P-Nois20;20;1;0,6959896857974985;0,7056649971831094;0,7221638069168531;2,0
25;10;Simple-1-1P-Nois20;40;40;0,6324555320336758;0,6700037467304144;0,7071067811865475;7,0
25;10;Simple-1-1P-Nois20;40;20;0,6445033866354897;0,6769734798456817;0,6828235772705927;2,0
25;10;Simple-1-1P-Nois20;40;1;0,6570744639589311;0,6632520449379353;0,6705795130748163;5,0
25;10;Simple-1-1P-Nois20;60;60;0,5527707983925666;0,5527707983925667;0,5527707983925666;0,0
