capa intermedia;bottleneck;promedio MCC general;promedio MCC (Simple-1-1P);mejor MCC (Simple-1-1P);promedio MCC (Simple-1-1P-Nois025);mejor MCC (Simple-1-1P-Nois025);promedio MCC (Simple-1-1P-Nois05);mejor MCC (Simple-1-1P-Nois05);promedio MCC (Simple-1-1P-Nois10);mejor MCC (Simple-1-1P-Nois10);promedio MCC (Simple-1-1P-Nois20);mejor MCC (Simple-1-1P-Nois20);promedio MCC (Simple-2P);mejor MCC (Simple-2P);promedio MCC (Simple-2P-Nois025);mejor MCC (Simple-2P-Nois025);promedio MCC (Simple-2P-Nois05);mejor MCC (Simple-2P-Nois05);promedio MCC (Simple-2P-Nois10);mejor MCC (Simple-2P-Nois10);promedio MCC (Simple-2P-Nois20);mejor MCC (Simple-2P-Nois20);promedio MCC (Comb-1-1P);mejor MCC (Comb-1-1P);promedio MCC (Comb-1-1P-Nois025);mejor MCC (Comb-1-1P-Nois025);promedio MCC (Comb-1-1P-Nois05);mejor MCC (Comb-1-1P-Nois05);promedio MCC (Comb-1-1P-Nois10);mejor MCC (Comb-1-1P-Nois10);promedio MCC (Comb-1-1P-Nois20);mejor MCC (Comb-1-1P-Nois20);promedio MCC (Comb-2P);mejor MCC (Comb-2P);promedio MCC (Comb-2P-Nois025);mejor MCC (Comb-2P-Nois025);promedio MCC (Comb-2P-Nois05);mejor MCC (Comb-2P-Nois05);promedio MCC (Comb-2P-Nois10);mejor MCC (Comb-2P-Nois10);promedio MCC (Comb-2P-Nois20);mejor MCC (Comb-2P-Nois20)
25;15;0,5686823971307892;0,7447119026855006;1,0;0,741255108831542;0,9715480298902084;0,7204010954430419;0,9121593238215744;0,6921339419086979;0,836141216950465;0,6396549531599077;0,7303483160732206;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,43799160889332023;0,63870101130579;0,6721082245811654;0,9170109546287278;0,6721082245811654;0,9170109546287278;0,6674743350429759;0,9170109546287278;0,6298234056192736;0,8074359845801993;0,5807881129705014;0,6870364946965049;0,4789333631536784;0,7056345559952193;0,4772459659124271;0,7056345559952193;0,4783864876940038;0,7056345559952193;0,4764467229083819;0,6986995275788394;0,4307338327145832;0,6274723786770169
25;10;0,5710784196760609;0,7439990410035924;1,0;0,7415030647012314;0,9715480298902084;0,7210767034190414;0,9151713856674112;0,6948320303687995;0,84543486313177;0,648016677466532;0,7366256196327655;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,44866824000384764;0,6460289358054258;0,6721082245811654;0,9170109546287278;0,6721082245811654;0,9170109546287278;0,6694663414236206;0,9146162565560078;0,6348724819898018;0,8091855014475631;0,5950185481632171;0,6993405658558843;0,4727945905472802;0,7056345559952193;0,47553974270548555;0,7056345559952193;0,4766990904527526;0,7056345559952193;0,4785161977971406;0,7043087244423926;0,44289853780092764;0,628143025405329
25;5;0,5653135775269751;0,7417416672906856;1,0;0,736245872440043;0,9715480298902084;0,724414306099098;0,9243905679505928;0,6969062443307791;0,842336981071335;0,6548659368718354;0,7549980432397346;0,4538947528071562;0,6671823605610294;0,4578861850156485;0,6671823605610294;0,45422881459098846;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4538885746830163;0,6557112126295667;0,6568949286974577;0,9105302570334668;0,6629335373611256;0,9105302570334668;0,6564549683344536;0,9120541386577616;0,6377450216220678;0,8272177078747032;0,5979022552754297;0,7304152184395133;0,4620316979226435;0,7056345559952193;0,4585040901224272;0,702982892889566;0,4501743284674501;0,7005289007176941;0,45058680588316147;0,7056345559952193;0,440608898595128;0,6592465257283416
20;15;0,5695929609868661;0,7455806787054267;1,0;0,7411823026922709;0,9710083124552245;0,7225485712416541;0,9301362419856491;0,6930709833159434;0,842336981071335;0,6438445853990462;0,740098523409343;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4425762778731903;0,6527611535757136;0,6721082245811654;0,9170109546287278;0,6721082245811654;0,9170109546287278;0,6686279008778654;0,9170109546287278;0,6335636413624255;0,8198615700314665;0,5859762907511424;0,6888838669332948;0,47598735979014634;0,7056345559952193;0,47683840469968697;0,7056345559952193;0,47384722236239185;0,7056345559952193;0,4727776846270819;0,7005289007176941;0,43777021036110225;0,6427143913038659
20;10;0,5709429839462621;0,7440302154014838;1,0;0,7415030647012314;0,9715480298902084;0,7213966751089517;0,9149439416145356;0,6953364770511998;0,8515788651906362;0,6508797466774624;0,7618750937272757;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,44967769518734496;0,6422093957505504;0,6721082245811654;0,9170109546287278;0,6721082245811654;0,9170109546287278;0,669814240404894;0,9170109546287278;0,6390640376724543;0,8439752400109464;0,5975931739240313;0,7035948281791434;0,47436209811140956;0,7056345559952193;0,47392082713690786;0,7056345559952193;0,47135323043776217;0,7056345559952193;0,4708560469774042;0,7054135840697482;0,4414050444547563;0,657103195837193
20;5;0,5631974592493284;0,7439681341371046;1,0;0,7388899913792085;0,9715480298902084;0,7238010754476757;0,9240683463766132;0,6964962486369609;0,8516306272526402;0,6547091223175041;0,7586246319068732;0,4583626641289038;0,6671823605610294;0,45740248609192247;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,456128681320493;0,6671823605610294;0,4548341480584976;0,6559719205371;0,6592328066120433;0,9170109546287278;0,6608388800093072;0,9105302570334668;0,6599310558511458;0,905095941939632;0,6319977711425299;0,8489808675530334;0,5841566166299204;0,7332664670876445;0,4469855397365056;0,7056345559952193;0,45736990931718435;0,7056345559952193;0,4567385103065758;0,7003312297839127;0,44327671148099007;0,7056345559952193;0,42046616825319255;0,6642021070715108
15;15;0,5695148228949164;0,7446340899380469;1,0;0,741534110318374;0,9715480298902084;0,7208601591744712;0,913550893796108;0,6943636245159269;0,8454348631317702;0,6464460403386671;0,746700516711688;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,44808302547040163;0,6486253664012762;0,6721082245811654;0,9170109546287278;0,6721082245811654;0,9170109546287278;0,6694078326235259;0,9122215584832876;0,6371263892084849;0,8245547827204621;0,594569164352666;0,7235351041881589;0,46914625606488713;0,7056345559952193;0,4687610815711053;0,7056345559952193;0,4702528574049991;0,7056345559952193;0,4738866221557412;0,7032038648150369;0,4335580990830843;0,6353125109886141
15;10;0,5700863938096614;0,7439828976103224;1,0;0,741534110318374;0,9715480298902084;0,724438057700828;0,9269411833941412;0,6958626086598022;0,84543486313177;0,6512271935278721;0,746596541441197;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,450791748105023;0,6506932599884949;0,6721082245811654;0,9170109546287278;0,6721082245811654;0,9170109546287278;0,6696570286777891;0,9121378485705248;0,6407960067490913;0,8441410873999274;0,5975786083910702;0,7286268769116376;0,4680051176932268;0,7056345559952193;0,46914732160353734;0,7056345559952193;0,47291902179723116;0,7056345559952193;0,4629072990282636;0,7056345559952193;0,4352137506528504;0,6579604735464791
15;5;0,5631483533239705;0,7435954876707211;1,0;0,7418562401799825;0,973907481209702;0,7213969406768714;0,9245735646962636;0,6969663719899923;0,8516306272526402;0,6551722612391769;0,7586246319068733;0,4549190644894987;0,6671823605610294;0,45699613275403755;0,6671823605610294;0,45740248609192247;0,6671823605610294;0,45740248609192247;0,6671823605610294;0,4544454232946802;0,6594933713460016;0,6619882256771586;0,9085571117980508;0,6540678284058632;0,9063269671749656;0,6553779498394413;0,9039601694496028;0,6269813475085318;0,8232724212944988;0,5814447869710158;0,7273080897394256;0,4565365270644626;0,7056345559952193;0,45270119946529896;0,7005289007176941;0,45549041979602173;0,7056345559952193;0,45390142891080143;0,7056345559952193;0,4243244583620095;0,6633744261934342
25;15;0,5686823971307892;0,7447119026855006;1,0;0,741255108831542;0,9715480298902084;0,7204010954430419;0,9121593238215744;0,6921339419086979;0,836141216950465;0,6396549531599077;0,7303483160732206;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,4583626641289038;0,6671823605610294;0,43799160889332023;0,63870101130579;0,6721082245811654;0,9170109546287278;0,6721082245811654;0,9170109546287278;0,6674743350429759;0,9170109546287278;0,6298234056192736;0,8074359845801993;0,5807881129705014;0,6870364946965049;0,4789333631536784;0,7056345559952193;0,4772459659124271;0,7056345559952193;0,4783864876940038;0,7056345559952193;0,4764467229083819;0,6986995275788394;0,4307338327145832;0,6274723786770169
