unidades capa1;ratio de dropout;promedio MCC general;promedio MCC (Simple-1-1P);mejor MCC (Simple-1-1P);promedio MCC (Simple-1-1P-Nois025);mejor MCC (Simple-1-1P-Nois025);promedio MCC (Simple-1-1P-Nois05);mejor MCC (Simple-1-1P-Nois05);promedio MCC (Simple-1-1P-Nois10);mejor MCC (Simple-1-1P-Nois10);promedio MCC (Simple-1-1P-Nois20);mejor MCC (Simple-1-1P-Nois20);promedio MCC (Simple-2P);mejor MCC (Simple-2P);promedio MCC (Simple-2P-Nois025);mejor MCC (Simple-2P-Nois025);promedio MCC (Simple-2P-Nois05);mejor MCC (Simple-2P-Nois05);promedio MCC (Simple-2P-Nois10);mejor MCC (Simple-2P-Nois10);promedio MCC (Simple-2P-Nois20);mejor MCC (Simple-2P-Nois20);promedio MCC (Comb-1-1P);mejor MCC (Comb-1-1P);promedio MCC (Comb-1-1P-Nois025);mejor MCC (Comb-1-1P-Nois025);promedio MCC (Comb-1-1P-Nois05);mejor MCC (Comb-1-1P-Nois05);promedio MCC (Comb-1-1P-Nois10);mejor MCC (Comb-1-1P-Nois10);promedio MCC (Comb-1-1P-Nois20);mejor MCC (Comb-1-1P-Nois20);promedio MCC (Comb-2P);mejor MCC (Comb-2P);promedio MCC (Comb-2P-Nois025);mejor MCC (Comb-2P-Nois025);promedio MCC (Comb-2P-Nois05);mejor MCC (Comb-2P-Nois05);promedio MCC (Comb-2P-Nois10);mejor MCC (Comb-2P-Nois10);promedio MCC (Comb-2P-Nois20);mejor MCC (Comb-2P-Nois20)
25;0,2;0,666120331864345;0,8960099889744727;0,9817074974779404;0,8115801060448272;0,9635919182881084;0,7240027804245646;0,9097767617412034;0,6346428416197164;0,8514246595210035;0,4820245063629864;0,764862268575063;0,796133668164259;0,9873381019134598;0,7465073312116807;0,94732963383595;0,7002310195899907;0,9261598988959956;0,5998862086885374;0,8462646063772331;0,42284418321254486;0,7007492891242939;0,8269905965580805;0,987787128711018;0,7732887872752887;0,952521242111305;0,6953405145964028;0,9216697280667284;0,6172456012542246;0,8420857651589382;0,46876046876288613;0,7341679587847606;0,7547305965140811;0,9909733397373406;0,7194898006921698;0,9655337685182744;0,6657228811100243;0,9492278541838168;0,5618866454450959;0,8239238519425678;0,4250881107850664;0,664825538944224
25;0,3;0,66689267191277;0,8941218944176827;0,9808508553306432;0,8107836929386404;0,9683626762044362;0,7311112712327279;0,9065787096991608;0,6335500335581444;0,8450496304438978;0,4803324034940549;0,7630522866091678;0,8014031203972871;0,9876124708102147;0,7416628126109325;0,9512913400935316;0,6964070378520948;0,9293298863575884;0,5976142465558393;0,8450287115413442;0,4247253798233326;0,7080360220994916;0,8256772475221642;0,9893268210855968;0,7704292900451859;0,952521403561936;0,6995592453074928;0,9161413990099208;0,6169999589985602;0,8358392423111747;0,46369995946610115;0,7338540679372163;0,757722034858988;0,9881112438257288;0,7204130709389669;0,9655429771627524;0,6823964693632668;0,946498942355635;0,5652834799415064;0,8207465003850676;0,42396078893243433;0,6585160246955294
20;0,2;0,6531858678701248;0,8868870587487714;0,9778604394425184;0,7999500992696614;0,963588421723309;0,717086101521647;0,9056701265074136;0,6274230641353731;0,8583844207161622;0,46632243637397414;0,7549497438657728;0,7866862697095238;0,9873381019134598;0,7297283945166348;0,946194536704074;0,680472625804217;0,9195546865943234;0,5831039269000293;0,8481732937699696;0,4058857567697917;0,677299137597734;0,8103387588941022;0,9854629743388276;0,7565869527172644;0,9486969683110746;0,6854273367138054;0,9118139790399094;0,6025172945764058;0,8324257468406365;0,4537560578459958;0,7314906521246919;0,7467187083956024;0,9885868853138308;0,7058699483455663;0,9650495441202624;0,6635050017840034;0,9479849194493888;0,5462882350008537;0,8106918393590625;0,4091633293792735;0,6618859033991591
20;0,3;0,6534648506179214;0,8910988678078337;0,9808683919700758;0,8002334349444291;0,963153749143316;0,7215053045431651;0,9046849868809812;0,6260428002713277;0,8436344861964151;0,46323126379478435;0,7480531913790274;0,7961216143137615;0,988164400551376;0,7316322743549045;0,9492991538895156;0,6843739031949376;0,926163500710764;0,5856740824282693;0,8330580363523078;0,4005664748043433;0,6850287577284739;0,8145630085060979;0,9915998365527016;0,7612863939815451;0,95022849217296;0,6886457972776391;0,9161170579951374;0,59527043513176;0,8263341423012885;0,44396060153396305;0,7279661142655846;0,7450036660675868;0,9904963314358852;0,7140059218966558;0,9633405971469722;0,6609147003933357;0,9452964668053774;0,54615091454331;0,8186016704881176;0,3990155525687778;0,6493182085515496
15;0,2;0,6364565329243649;0,8705901958793957;0,9783452823086708;0,7864500629210928;0,9583243922454352;0,6983148839219827;0,9038152505061032;0,6078899129673305;0,8337673252159797;0,4386587186179081;0,7086129849144498;0,775199142025347;0,9873358064044911;0,7101377324986093;0,940490229824006;0,6699661494498379;0,91307110666138;0,5695224410078631;0,8270339756788655;0,39325650737443074;0,6676765670337793;0,801293813113675;0,9862240728496214;0,7485549686214998;0,9456234977026694;0,6645825660168455;0,9134714257957594;0,5880657372191163;0,8175622938665761;0,4354618904319615;0,7189603598704957;0,7326072221261182;0,9880955668389294;0,6931613467805611;0,9621300785651667;0,6441136420371166;0,9413422414684754;0,5193416681525067;0,8168555711009702;0,38196205732409794;0,6498689044029655
15;0,3;0,63620455611931;0,8792366272378456;0,9769957800016;0,7784997194903543;0,9569587497217388;0,6928619293012932;0,8973545044916029;0,5972379971435219;0,8214040106199336;0,44067800769577026;0,7285865727216554;0,7762663612981091;0,9859528861460491;0,7178413211005916;0,9407374105886814;0,6643239237109565;0,9183763511001442;0,5603775900180697;0,8301440867786564;0,38398329995333463;0,6470731976595452;0,8121043376243163;0,9847073007296506;0,750018896913492;0,9491039345583122;0,6713256834595808;0,908966616908273;0,5827375120160061;0,8235110105597526;0,4291678810709918;0,7112898238797998;0,742806480909385;0,986683043773495;0,6985651743905469;0,9574989210505692;0,6464077196311686;0,9423618502781428;0,5191090660440201;0,8074004967531596;0,3805415933768445;0,6290264889964868
