capa intermedia;bottleneck;serie;ventana;desplazamiento;peor MCC;promedio MCC;mejor MCC;mejor modelo
15;10;Simple-1-1P;20;20;-0,0050314823650191;0,25773006501088497;0,4517217477450811;7,0
15;10;Simple-1-1P;20;10;0,3375631334008898;0,40226292406594044;0,4910458949949913;6,0
15;10;Simple-1-1P;20;1;0,5294914004246526;0,577956846905959;0,6188611797153459;3,0
15;10;Simple-1-1P;40;40;0,6187184335382291;0,6446940096952365;0,7071067811865475;6,0
15;10;Simple-1-1P;40;20;0,1876221896512874;0,3230025137466793;0,4345240946267408;3,0
15;10;Simple-1-1P;40;1;0,569341475282629;0,6093759928510437;0,6413891113312722;2,0
15;10;Simple-1-1P;60;60;0,1770283348479314;0,32147161616742403;0,4271410714851651;9,0
15;10;Simple-1-1P;60;30;0,1816497536376887;0,3067989668082803;0,4899559349388659;9,0
15;10;Simple-1-1P;60;1;0,4134128409942297;0,4702882185371101;0,5355919114376927;7,0
15;10;Simple-1-1P-Nois025;20;20;0,1113554190382394;0,23471384795314534;0,4031892562490719;8,0
15;10;Simple-1-1P-Nois025;20;10;0,303423729171822;0,38141106747507053;0,4411935198685962;4,0
15;10;Simple-1-1P-Nois025;20;1;0,5000443887928393;0,5405725968687629;0,5792972872706853;6,0
15;10;Simple-1-1P-Nois025;40;40;0,5786876586795141;0,6249696383274109;0,7071067811865475;8,0
15;10;Simple-1-1P-Nois025;40;20;0,3064398283760979;0,3707200227023942;0,460587814882307;0,0
15;10;Simple-1-1P-Nois025;40;1;0,532382680159704;0,5525001052253284;0,5957434703561042;2,0
15;10;Simple-1-1P-Nois025;60;60;0,0502518907629606;0,2730351410098125;0,4271410714851651;6,0
15;10;Simple-1-1P-Nois025;60;30;0,1758816176703621;0,3005564838428306;0,3685138655950444;8,0
15;10;Simple-1-1P-Nois025;60;1;0,3740085607761349;0,4296838046478279;0,4843774936380086;7,0
15;10;Simple-1-1P-Nois05;20;20;0,1234731709371558;0,24683176961354816;0,4044434703606647;4,0
15;10;Simple-1-1P-Nois05;20;10;0,2916363944894111;0,34724024162201833;0,3974659104374912;2,0
15;10;Simple-1-1P-Nois05;20;1;0,4204931463064366;0,45417987952889155;0,4814519120026293;3,0
15;10;Simple-1-1P-Nois05;40;40;0,5303300858899106;0,6050855791551136;0,67005939426049;4,0
15;10;Simple-1-1P-Nois05;40;20;0,1912091089707187;0,33177985631975615;0,4683237596529198;0,0
15;10;Simple-1-1P-Nois05;40;1;0,4245789021024014;0,46477632660427454;0,5024377079186683;2,0
15;10;Simple-1-1P-Nois05;60;60;0,1240121581902975;0,252013603375561;0,3685138655950444;3,0
15;10;Simple-1-1P-Nois05;60;30;0,2386964811240628;0,3156195852842138;0,4271410714851651;8,0
15;10;Simple-1-1P-Nois05;60;1;0,3217957416748953;0,3842654394418127;0,4184613710125783;7,0
15;10;Simple-1-1P-Nois10;20;20;0,1058933649687365;0,2270710122089381;0,3476767476825577;7,0
15;10;Simple-1-1P-Nois10;20;10;0,3122122623853368;0,3492019442409935;0,3974659104374912;1,0
15;10;Simple-1-1P-Nois10;20;1;0,3627679410612059;0,3761775339303336;0,4064623939955761;6,0
15;10;Simple-1-1P-Nois10;40;40;0,5786876586795141;0,6526310710776598;0,7071067811865475;0,0
15;10;Simple-1-1P-Nois10;40;20;0,0878641487612543;0,262409208519819;0,4345240946267408;1,0
15;10;Simple-1-1P-Nois10;40;1;0,3705907819445287;0,3834004678513273;0,3900984214741342;1,0
15;10;Simple-1-1P-Nois10;60;60;0,1770283348479314;0,25756910681590306;0,3769218104076232;8,0
15;10;Simple-1-1P-Nois10;60;30;0,1645029447822766;0,25435311603421906;0,3148000938676784;4,0
15;10;Simple-1-1P-Nois10;60;1;0,2497060027337126;0,29514114703052147;0,3360557661048512;7,0
15;10;Simple-1-1P-Nois20;20;20;0,0527534961339997;0,19784844069047855;0,3476767476825577;3,0
15;10;Simple-1-1P-Nois20;20;10;0,1935691399036311;0,2725618541164697;0,3282259328800702;3,0
15;10;Simple-1-1P-Nois20;20;1;0,296919078057778;0,30613860048232183;0,3188277412453377;6,0
15;10;Simple-1-1P-Nois20;40;40;0,5375872022286244;0,6146744804725215;0,7071067811865475;1,0
15;10;Simple-1-1P-Nois20;40;20;0,1486698550696459;0,2532056451644521;0,3401442644359082;6,0
15;10;Simple-1-1P-Nois20;40;1;0,256428908868741;0,26103463794898585;0,2659178113205726;7,0
15;10;Simple-1-1P-Nois20;60;60;0,1770283348479314;0,3010158967729505;0,464420364012824;8,0
15;10;Simple-1-1P-Nois20;60;30;0,124383147451339;0,24649669488183243;0,3423439661685216;6,0
15;10;Simple-1-1P-Nois20;60;1;0,2011075579185587;0,23026487981465887;0,2475807315387058;7,0
15;10;Simple-2P;20;20;0,1311450235388945;0,18257187349917003;0,2993592018315035;3,0
15;10;Simple-2P;20;10;0,1583418870993721;0,2023262411879237;0,3025963115402277;1,0
15;10;Simple-2P;20;1;0,2101666346676759;0,254000250622142;0,3060637090294236;7,0
15;10;Simple-2P;40;40;0,1236128465145493;0,19431848704715188;0,2609604537529376;0,0
